bin_center,n,mean_conf,accuracy
0.03,12918,0.0014356318033596073,0.2021210713732776
0.1,134,0.09841645964935644,0.5970149253731343
0.17,83,0.16422695280557656,0.4939759036144578
0.23,50,0.23093928456306456,0.6
0.3,65,0.2983164952351497,0.5384615384615384
0.37,49,0.3632227741942114,0.6122448979591837
0.43,55,0.4265693274411288,0.7636363636363637
0.5,50,0.5003433382511139,0.62
0.57,50,0.5644209325313568,0.64
0.63,41,0.6312184173886369,0.6585365853658537
0.7,69,0.7039370078971421,0.6666666666666666
0.77,58,0.7692571169343488,0.6551724137931034
0.83,98,0.834619614542747,0.7346938775510204
0.9,171,0.904726827702327,0.7017543859649122
0.97,4569,0.9907262762439776,0.8877216021011162
