decile,len_range,BERT,Cascade,TF-IDF,Length-LR
0,4–169,0.729957805907173,0.7365112624410686,0.1027479091995221,0.0
1,170–327,0.8508825319537432,0.8538508186779866,0.13874066168623267,0.0
2,328–471,0.8301886792452831,0.8318154219793564,0.11561866125760649,0.0
3,472–650,0.7667638483965015,0.7751265365148229,0.06722689075630252,0.0
4,651–867,0.7415730337078652,0.7501982553528945,0.09786700125470514,0.0
5,868–1132,0.653448275862069,0.6597938144329897,0.010403120936280884,0.0
6,1133–1540,0.591283863368669,0.6011695906432749,0.020512820512820513,0.0
7,1541–2279,0.5393858477970628,0.5483443708609271,0.015037593984962405,0.0
8,2281–3782,0.69,0.6992031872509961,0.0031397174254317113,0.0
9,3783–25000,0.41226993865030676,0.43478260869565216,0.0,0.0
